timestamp,pm25,pm10,co,no2,so2,o3,aqi,city,temperature,humidity,pressure,wind_speed,wind_deg,weather,hour,day_of_week,month
2026-03-04 00:00:00,65.4,78.2,1310.0,45.9,14.7,61.0,156.11169652265542,Lahore,22.4,47,,4.8,241.0,Unknown,0,2,3
2026-03-04 01:00:00,66.8,81.7,1307.0,36.0,14.2,64.0,156.8345626975764,Lahore,21.1,51,,2.5,30.0,Unknown,1,2,3
2026-03-04 02:00:00,68.0,84.3,1287.0,28.2,13.8,65.0,157.4541622760801,Lahore,19.9,57,,6.4,16.0,Unknown,2,2,3
2026-03-04 03:00:00,69.4,86.4,1078.0,23.7,13.7,63.0,158.17702845100106,Lahore,18.5,63,,4.6,18.0,Unknown,3,2,3
2026-03-04 04:00:00,71.0,88.7,853.0,21.5,13.8,58.0,159.00316122233932,Lahore,18.0,67,,1.5,45.0,Unknown,4,2,3
2026-03-04 05:00:00,69.2,89.4,1065.0,20.1,13.5,54.0,158.07376185458378,Lahore,17.9,74,,0.9,191.0,Unknown,5,2,3
2026-03-04 06:00:00,73.3,94.5,2271.0,29.2,14.2,43.0,160.19072708113805,Lahore,17.3,76,,1.3,214.0,Unknown,6,2,3
2026-03-04 07:00:00,82.9,104.1,3915.0,41.4,15.2,30.0,165.14752370916756,Lahore,17.2,76,,0.3,135.0,Unknown,7,2,3
2026-03-04 08:00:00,91.3,106.4,4779.0,47.7,16.6,35.0,169.48472075869336,Lahore,19.5,67,,1.1,108.0,Unknown,8,2,3
2026-03-04 09:00:00,83.8,101.3,4114.0,42.7,18.7,75.0,165.6122233930453,Lahore,23.9,51,,0.7,76.0,Unknown,9,2,3
2026-03-04 10:00:00,75.0,96.2,2669.0,31.8,21.1,132.0,161.06849315068493,Lahore,27.1,40,,0.9,259.0,Unknown,10,2,3
2026-03-04 11:00:00,58.6,80.8,1474.0,22.1,22.6,176.0,152.60063224446787,Lahore,29.0,35,,2.2,325.0,Unknown,11,2,3
2026-03-04 12:00:00,46.4,68.0,910.0,15.0,22.3,194.0,127.8391959798995,Lahore,31.8,26,,2.8,320.0,Unknown,12,2,3
2026-03-04 13:00:00,39.7,61.2,596.0,9.1,21.1,199.0,111.34170854271358,Lahore,33.3,22,,6.3,309.0,Unknown,13,2,3
2026-03-04 14:00:00,35.0,57.5,420.0,6.7,19.8,195.0,99.1587982832618,Lahore,33.8,21,,8.7,307.0,Unknown,14,2,3
2026-03-04 15:00:00,32.6,55.6,359.0,8.8,18.7,181.0,94.11158798283262,Lahore,33.8,22,,8.7,304.0,Unknown,15,2,3
2026-03-04 16:00:00,32.4,54.8,434.0,14.4,17.6,158.0,93.69098712446352,Lahore,33.4,23,,9.0,300.0,Unknown,16,2,3
2026-03-04 17:00:00,40.7,64.0,602.0,23.0,17.9,133.0,113.80402010050253,Lahore,32.0,27,,9.9,295.0,Unknown,17,2,3
2026-03-04 18:00:00,48.5,68.5,909.0,35.9,18.5,111.0,133.01005025125627,Lahore,30.2,33,,8.4,286.0,Unknown,18,2,3
2026-03-04 19:00:00,55.8,75.7,1307.0,53.5,19.3,82.0,151.1548998946259,Lahore,28.9,39,,7.1,289.0,Unknown,19,2,3
2026-03-04 20:00:00,62.9,84.1,1610.0,65.4,19.7,60.0,154.8208640674394,Lahore,27.5,44,,6.0,299.0,Unknown,20,2,3
2026-03-04 21:00:00,69.8,92.4,1732.0,67.0,19.4,54.0,158.3835616438356,Lahore,26.2,48,,5.6,291.0,Unknown,21,2,3
2026-03-04 22:00:00,75.9,99.0,1759.0,62.8,18.7,57.0,161.5331928345627,Lahore,26.0,48,,6.7,284.0,Unknown,22,2,3
2026-03-04 23:00:00,80.1,104.3,1762.0,56.6,17.9,61.0,163.7017913593256,Lahore,25.6,51,,7.0,271.0,Unknown,23,2,3
2026-03-05 00:00:00,82.7,107.6,1780.0,48.2,16.9,66.0,165.04425711275027,Lahore,24.7,55,,6.5,276.0,Unknown,0,3,3
2026-03-05 01:00:00,83.8,109.2,1774.0,37.7,15.7,72.0,165.6122233930453,Lahore,23.9,58,,6.5,302.0,Unknown,1,3,3
2026-03-05 02:00:00,84.5,109.2,1700.0,28.9,14.9,77.0,165.9736564805058,Lahore,23.0,61,,7.1,322.0,Unknown,2,3,3
2026-03-05 03:00:00,83.6,105.7,1447.0,22.6,14.7,79.0,165.508956796628,Lahore,22.4,63,,7.9,321.0,Unknown,3,3,3
2026-03-05 04:00:00,80.8,101.3,1125.0,18.1,14.7,79.0,164.06322444678608,Lahore,21.6,66,,7.8,316.0,Unknown,4,3,3
2026-03-05 05:00:00,64.5,80.1,1024.0,12.5,14.4,82.0,155.64699683877765,Lahore,21.1,68,,7.4,302.0,Unknown,5,3,3
2026-03-05 06:00:00,64.0,79.2,1412.0,19.3,14.1,71.0,155.38883034773446,Lahore,20.4,70,,6.6,311.0,Unknown,6,3,3
2026-03-05 07:00:00,66.6,81.7,2020.0,28.5,13.7,57.0,156.7312961011591,Lahore,20.0,72,,5.6,318.0,Unknown,7,3,3
2026-03-05 08:00:00,65.7,78.5,2328.0,33.5,13.8,56.0,156.26659641728136,Lahore,21.6,65,,5.6,315.0,Unknown,8,3,3
2026-03-05 09:00:00,59.8,71.5,2027.0,30.5,14.8,82.0,153.22023182297156,Lahore,24.5,55,,3.6,300.0,Unknown,9,3,3
2026-03-05 10:00:00,44.2,60.5,1426.0,23.3,16.2,121.0,122.42211055276384,Lahore,28.2,42,,4.7,298.0,Unknown,10,3,3
2026-03-05 11:00:00,38.4,59.0,934.0,16.7,16.9,151.0,108.14070351758794,Lahore,30.8,32,,6.8,312.0,Unknown,11,3,3
2026-03-05 12:00:00,33.6,58.3,703.0,11.5,16.3,161.0,96.21459227467813,Lahore,32.8,26,,7.8,316.0,Unknown,12,3,3
2026-03-05 13:00:00,28.5,55.5,581.0,6.8,15.1,161.0,85.4892703862661,Lahore,34.2,24,,8.0,306.0,Unknown,13,3,3
2026-03-05 14:00:00,25.7,53.8,525.0,5.1,14.2,158.0,79.60085836909872,Lahore,34.8,23,,8.0,298.0,Unknown,14,3,3
2026-03-05 15:00:00,25.6,52.2,519.0,6.9,13.9,154.0,79.39055793991417,Lahore,35.0,23,,8.7,294.0,Unknown,15,3,3
2026-03-05 16:00:00,27.2,50.5,579.0,11.6,13.8,146.0,82.75536480686696,Lahore,34.5,25,,9.0,285.0,Unknown,16,3,3
2026-03-05 17:00:00,38.2,63.6,712.0,22.4,13.8,122.0,107.64824120603016,Lahore,33.1,30,,9.0,285.0,Unknown,17,3,3
2026-03-05 18:00:00,48.0,71.0,992.0,43.3,14.8,97.0,131.7788944723618,Lahore,31.3,37,,7.6,274.0,Unknown,18,3,3
2026-03-05 19:00:00,58.2,80.6,1345.0,71.6,16.2,62.0,152.3940990516333,Lahore,29.5,45,,5.4,266.0,Unknown,19,3,3
2026-03-05 20:00:00,67.8,90.1,1559.0,89.2,17.1,38.0,157.3508956796628,Lahore,28.2,51,,5.2,274.0,Unknown,20,3,3
2026-03-05 21:00:00,76.1,98.5,1505.0,86.5,16.9,36.0,161.63645943097998,Lahore,27.5,53,,5.6,274.0,Unknown,21,3,3
2026-03-05 22:00:00,80.3,101.3,1313.0,73.1,16.2,45.0,163.80505795574288,Lahore,26.5,54,,5.9,256.0,Unknown,22,3,3
2026-03-05 23:00:00,78.9,98.0,1156.0,59.5,15.5,53.0,163.08219178082192,Lahore,25.6,55,,3.1,263.0,Unknown,23,3,3
2026-03-06 00:00:00,76.6,93.8,1101.0,47.9,15.0,57.0,161.89462592202318,Lahore,24.6,58,,0.3,45.0,Unknown,0,4,3
2026-03-06 01:00:00,76.8,92.9,1082.0,36.0,14.5,59.0,161.99789251844047,Lahore,23.6,62,,0.7,14.0,Unknown,1,4,3
2026-03-06 02:00:00,78.9,95.5,1076.0,28.0,14.2,59.0,163.08219178082192,Lahore,22.9,65,,1.9,311.0,Unknown,2,4,3
2026-03-06 03:00:00,82.4,99.2,1003.0,25.2,14.1,54.0,164.88935721812436,Lahore,22.2,67,,1.8,307.0,Unknown,3,4,3
